IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,42,0.0,0.0,0.0
change_case_english_capital,1,42,0.23809523809523808,0.23809523809523808,0.35714285714285715
change_case_english_capital,2,42,0.7857142857142857,0.8095238095238095,0.6428571428571429
change_case_english_capital,3,42,0.8095238095238095,0.8095238095238095,0.6666666666666666
change_case_english_capital,4,42,0.8571428571428571,0.8571428571428571,0.6190476190476191
change_case_english_capital,5,42,0.8571428571428571,0.8571428571428571,0.5952380952380952
change_case_english_capital,6,42,0.8809523809523809,0.8809523809523809,0.6190476190476191
change_case_english_capital,7,42,0.9047619047619048,0.9047619047619048,0.5476190476190477
change_case_english_capital,8,42,0.9285714285714286,0.9285714285714286,0.5952380952380952
change_case_english_lowercase,0,50,0.0,0.1,0.0
change_case_english_lowercase,1,50,0.24,0.24,0.48
change_case_english_lowercase,2,50,0.36,0.36,0.56
change_case_english_lowercase,3,50,0.44,0.44,0.52
change_case_english_lowercase,4,50,0.52,0.52,0.58
change_case_english_lowercase,5,50,0.52,0.52,0.48
change_case_english_lowercase,6,50,0.66,0.66,0.54
change_case_english_lowercase,7,50,0.66,0.66,0.52
change_case_english_lowercase,8,50,0.74,0.74,0.52
combination_repeat_prompt,0,12,0.0,0.0,0.0
combination_repeat_prompt,1,12,0.5,0.5,0.5
combination_repeat_prompt,2,12,0.9166666666666666,0.9166666666666666,0.75
combination_repeat_prompt,3,12,0.9166666666666666,0.9166666666666666,0.75
combination_repeat_prompt,4,12,0.9166666666666666,0.9166666666666666,0.75
combination_repeat_prompt,5,12,0.9166666666666666,0.9166666666666666,0.75
combination_repeat_prompt,6,12,0.9166666666666666,0.9166666666666666,0.8333333333333334
combination_repeat_prompt,7,12,0.9166666666666666,0.9166666666666666,0.8333333333333334
combination_repeat_prompt,8,12,0.9166666666666666,0.9166666666666666,0.8333333333333334
detectable_format_json_format,0,78,0.0,0.05128205128205128,0.01282051282051282
detectable_format_json_format,1,78,0.05128205128205128,0.0641025641025641,0.02564102564102564
detectable_format_json_format,2,78,0.5897435897435898,0.6153846153846154,0.5769230769230769
detectable_format_json_format,3,78,0.8333333333333334,0.8461538461538461,0.7564102564102564
detectable_format_json_format,4,78,0.8974358974358975,0.8974358974358975,0.782051282051282
detectable_format_json_format,5,78,0.9230769230769231,0.9230769230769231,0.782051282051282
detectable_format_json_format,6,78,0.9230769230769231,0.9230769230769231,0.7948717948717948
detectable_format_json_format,7,78,0.9487179487179487,0.9487179487179487,0.7948717948717948
detectable_format_json_format,8,78,0.9230769230769231,0.9230769230769231,0.7948717948717948
detectable_format_title,0,6,0.0,0.0,0.0
detectable_format_title,1,6,0.0,0.0,0.8333333333333334
detectable_format_title,2,6,0.6666666666666666,0.6666666666666666,0.0
detectable_format_title,3,6,1.0,1.0,0.0
detectable_format_title,4,6,1.0,1.0,0.0
detectable_format_title,5,6,1.0,1.0,0.0
detectable_format_title,6,6,1.0,1.0,0.0
detectable_format_title,7,6,1.0,1.0,0.0
detectable_format_title,8,6,1.0,1.0,0.0
startend_end_checker,0,6,0.0,0.0,0.0
startend_end_checker,1,6,0.0,0.0,0.3333333333333333
startend_end_checker,2,6,0.0,0.0,0.6666666666666666
startend_end_checker,3,6,0.0,0.0,0.8333333333333334
startend_end_checker,4,6,0.0,0.0,0.8333333333333334
startend_end_checker,5,6,0.16666666666666666,0.16666666666666666,0.8333333333333334
startend_end_checker,6,6,0.3333333333333333,0.3333333333333333,0.8333333333333334
startend_end_checker,7,6,0.6666666666666666,0.6666666666666666,0.8333333333333334
startend_end_checker,8,6,0.5,0.5,0.8333333333333334
startend_quotation,0,19,0.0,0.0,0.0
startend_quotation,1,19,0.631578947368421,0.631578947368421,0.42105263157894735
startend_quotation,2,19,0.7894736842105263,0.7894736842105263,0.5789473684210527
startend_quotation,3,19,0.9473684210526315,0.9473684210526315,0.7368421052631579
startend_quotation,4,19,0.9473684210526315,0.9473684210526315,0.7368421052631579
startend_quotation,5,19,1.0,1.0,0.7368421052631579
startend_quotation,6,19,1.0,1.0,0.7368421052631579
startend_quotation,7,19,1.0,1.0,0.7368421052631579
startend_quotation,8,19,1.0,1.0,0.7368421052631579
