IF_task,shot_level,n,if_rate_strict,if_rate_loose,mean_performance
change_case_english_capital,0,42,0.9761904761904762,0.9761904761904762,0.6428571428571429
change_case_english_capital,1,42,0.9285714285714286,0.9285714285714286,0.8333333333333334
change_case_english_capital,2,42,1.0,1.0,0.8809523809523809
change_case_english_capital,3,42,1.0,1.0,0.7380952380952381
change_case_english_capital,4,42,1.0,1.0,0.8571428571428571
change_case_english_capital,5,42,0.9761904761904762,0.9761904761904762,0.8571428571428571
change_case_english_capital,6,42,1.0,1.0,0.9047619047619048
change_case_english_capital,7,42,1.0,1.0,0.9047619047619048
change_case_english_capital,8,42,1.0,1.0,0.8571428571428571
change_case_english_lowercase,0,50,0.96,0.98,0.8
change_case_english_lowercase,1,50,0.74,0.74,0.86
change_case_english_lowercase,2,50,0.48,0.48,0.8
change_case_english_lowercase,3,50,0.5,0.5,0.86
change_case_english_lowercase,4,50,0.38,0.38,0.82
change_case_english_lowercase,5,50,0.28,0.28,0.84
change_case_english_lowercase,6,50,0.22,0.22,0.86
change_case_english_lowercase,7,50,0.14,0.14,0.8
change_case_english_lowercase,8,50,0.1,0.1,0.84
combination_repeat_prompt,0,12,1.0,1.0,0.4166666666666667
combination_repeat_prompt,1,12,0.8333333333333334,0.8333333333333334,0.6666666666666666
combination_repeat_prompt,2,12,1.0,1.0,0.75
combination_repeat_prompt,3,12,0.9166666666666666,0.9166666666666666,0.75
combination_repeat_prompt,4,12,1.0,1.0,0.6666666666666666
combination_repeat_prompt,5,12,0.9166666666666666,0.9166666666666666,0.6666666666666666
combination_repeat_prompt,6,12,0.9166666666666666,0.9166666666666666,0.75
combination_repeat_prompt,7,12,1.0,1.0,0.8333333333333334
combination_repeat_prompt,8,12,1.0,1.0,0.8333333333333334
detectable_format_json_format,0,78,1.0,1.0,0.9102564102564102
detectable_format_json_format,1,78,0.9230769230769231,0.9230769230769231,0.782051282051282
detectable_format_json_format,2,78,0.8846153846153846,0.8846153846153846,0.5256410256410257
detectable_format_json_format,3,78,0.8461538461538461,0.8461538461538461,0.5128205128205128
detectable_format_json_format,4,78,0.7948717948717948,0.7948717948717948,0.46153846153846156
detectable_format_json_format,5,78,0.717948717948718,0.717948717948718,0.358974358974359
detectable_format_json_format,6,78,0.5641025641025641,0.5641025641025641,0.19230769230769232
detectable_format_json_format,7,78,0.5384615384615384,0.5384615384615384,0.23076923076923078
detectable_format_json_format,8,78,0.5,0.5,0.2564102564102564
detectable_format_title,0,6,1.0,1.0,0.0
detectable_format_title,1,6,1.0,1.0,0.0
detectable_format_title,2,6,1.0,1.0,0.0
detectable_format_title,3,6,1.0,1.0,0.0
detectable_format_title,4,6,1.0,1.0,0.0
detectable_format_title,5,6,1.0,1.0,0.0
detectable_format_title,6,6,1.0,1.0,0.0
detectable_format_title,7,6,1.0,1.0,0.0
detectable_format_title,8,6,1.0,1.0,0.0
startend_end_checker,0,6,1.0,1.0,0.0
startend_end_checker,1,6,1.0,1.0,0.6666666666666666
startend_end_checker,2,6,1.0,1.0,0.8333333333333334
startend_end_checker,3,6,1.0,1.0,0.6666666666666666
startend_end_checker,4,6,1.0,1.0,1.0
startend_end_checker,5,6,1.0,1.0,1.0
startend_end_checker,6,6,1.0,1.0,0.8333333333333334
startend_end_checker,7,6,1.0,1.0,0.8333333333333334
startend_end_checker,8,6,0.8333333333333334,0.8333333333333334,0.6666666666666666
startend_quotation,0,19,1.0,1.0,0.6842105263157895
startend_quotation,1,19,0.9473684210526315,0.9473684210526315,0.5789473684210527
startend_quotation,2,19,0.5263157894736842,0.5263157894736842,0.6842105263157895
startend_quotation,3,19,0.2631578947368421,0.2631578947368421,0.631578947368421
startend_quotation,4,19,0.2631578947368421,0.2631578947368421,0.631578947368421
startend_quotation,5,19,0.2631578947368421,0.2631578947368421,0.6842105263157895
startend_quotation,6,19,0.3157894736842105,0.3157894736842105,0.6842105263157895
startend_quotation,7,19,0.21052631578947367,0.21052631578947367,0.6842105263157895
startend_quotation,8,19,0.21052631578947367,0.21052631578947367,0.7368421052631579
